"ScheduleKey","FormID","InspectionName","Department","Frequency","DueDate","Sequence","Status"
"BCH001|2026-11-21","BCH001","Box Chutes","Sanitation","Weekly","2026-11-21","17","Scheduled"
"BRE001|2026-11-21","BRE001","Box Room Elevator","Production","Weekly","2026-11-21","17","Scheduled"
"DCK001|2026-11-21","DCK001","Dock Pits","Production","Weekly","2026-11-21","17","Scheduled"
"FLT001|2026-11-21","FLT001","Forklifts","Production","Weekly","2026-11-21","17","Scheduled"
"ICE001|2026-11-21","ICE001","Ice House & Augers","Sanitation","Bi-Weekly","2026-11-21","9","Scheduled"
"KNR001|2026-11-21","KNR001","Knife Room","Production","Weekly","2026-11-21","17","Scheduled"
"LGT001|2026-11-21","LGT001","Light Covers","Sanitation","Weekly","2026-11-21","17","Scheduled"
"OHD001|2026-11-21","OHD001","1st Processing Overhead","Sanitation","Weekly","2026-11-21","17","Scheduled"
"OHD002|2026-11-21","OHD002","2nd Processing Overhead","Sanitation","Weekly","2026-11-21","17","Scheduled"
"OSG001|2026-11-21","OSG001","Outside Grounds","Production","Weekly","2026-11-21","17","Scheduled"
"SLC001|2026-11-21","SLC001","SLC Scales","Production","Weekly","2026-11-21","17","Scheduled"
"SOP001|2026-11-21","SOP001","Soap Room","Sanitation","Weekly","2026-11-21","17","Scheduled"
"AIR001|2026-11-28","AIR001","Air Curtains","Sanitation","Weekly","2026-11-28","18","Scheduled"
"BCH001|2026-11-28","BCH001","Box Chutes","Sanitation","Weekly","2026-11-28","18","Scheduled"
"BRE001|2026-11-28","BRE001","Box Room Elevator","Production","Weekly","2026-11-28","18","Scheduled"
"DCK001|2026-11-28","DCK001","Dock Pits","Production","Weekly","2026-11-28","18","Scheduled"
"FLT001|2026-11-28","FLT001","Forklifts","Production","Weekly","2026-11-28","18","Scheduled"
"KNR001|2026-11-28","KNR001","Knife Room","Production","Weekly","2026-11-28","18","Scheduled"
"LGT001|2026-11-28","LGT001","Light Covers","Sanitation","Weekly","2026-11-28","18","Scheduled"
"OHD001|2026-11-28","OHD001","1st Processing Overhead","Sanitation","Weekly","2026-11-28","18","Scheduled"
"OHD002|2026-11-28","OHD002","2nd Processing Overhead","Sanitation","Weekly","2026-11-28","18","Scheduled"
